"id","created","reporting_user_id","reported_user_id","reason_id","comment","id","localizable_string_name"
373457,"2017-04-17 03:58:30.605296",2883312,3106640,6,"this person asked me to ""verify my id"" with a link to a site asking for my credit card and other personal details.",6,"ReportReason_6"
374621,"2017-04-19 08:04:28.777367",3308395,3106640,2,"",2,"ReportReason_2"
374871,"2017-04-19 18:49:53.59719",2820295,3106640,2,"",2,"ReportReason_2"
375115,"2017-04-20 02:48:40.214849",3268920,3106640,2,"",2,"ReportReason_2"
376252,"2017-04-21 21:38:44.437381",3294224,3106640,2,"",2,"ReportReason_2"
381041,"2017-04-27 18:47:33.178852",3294224,3106640,2,"",2,"ReportReason_2"
318483,"2016-11-25 18:46:25.05595",2843984,2884346,4,"",4,"ReportReason_4"
356942,"2017-02-23 05:16:57.611233",2378338,2893512,1,"",1,"ReportReason_1"
349923,"2017-02-04 08:25:24.363883",3070503,3100904,6,"obsene",6,"ReportReason_6"
361878,"2017-03-12 22:27:38.09306",3060825,3209303,2,"",2,"ReportReason_2"
372701,"2017-04-14 13:21:08.639668",3284526,3307517,2,"",2,"ReportReason_2"
372731,"2017-04-14 14:56:31.995126",3137741,3307517,2,"",2,"ReportReason_2"
372742,"2017-04-14 15:19:56.472436",2866266,3307517,2,"",2,"ReportReason_2"
372755,"2017-04-14 16:08:25.582068",3276815,3307517,6,"hes asking me to buy him stuff on kik",6,"ReportReason_6"
372804,"2017-04-14 19:11:55.814426",3294224,3307517,2,"",2,"ReportReason_2"
372830,"2017-04-14 21:12:05.17709",3221787,3307517,2,"",2,"ReportReason_2"
372898,"2017-04-15 01:53:51.058203",3137741,3307517,2,"",2,"ReportReason_2"
360144,"2017-03-06 16:39:39.91129",3137741,3169390,1,"",1,"ReportReason_1"
342123,"2017-01-16 02:06:59.064201",2603181,3045697,2,"",2,"ReportReason_2"
342162,"2017-01-16 03:38:09.852199",128566,3045697,2,"",2,"ReportReason_2"
342221,"2017-01-16 06:14:49.779916",2758641,3045697,2,"",2,"ReportReason_2"
339060,"2017-01-09 12:17:57.280033",2879544,3025529,2,"",2,"ReportReason_2"
339190,"2017-01-09 20:33:21.531689",3002204,3025529,2,"",2,"ReportReason_2"
327933,"2016-12-17 04:48:13.192888",2930787,2722067,4,"",4,"ReportReason_4"
327379,"2016-12-15 04:18:54.284249",2946158,2829188,4,"",4,"ReportReason_4"
362405,"2017-03-14 16:52:02.647199",2866266,2297637,5,"",5,"ReportReason_5"
389989,"2017-05-15 02:04:03.50849",145439,3391739,2,"",2,"ReportReason_2"
390104,"2017-05-15 04:44:43.947766",3383599,3391739,2,"",2,"ReportReason_2"
322888,"2016-12-05 12:44:07.04243",2624457,2914771,5,"",5,"ReportReason_5"
270795,"2016-09-19 04:31:08.291525",866886,2445153,6,"Multiple profiles. Came across 5 already",6,"ReportReason_6"
364118,"2017-03-20 02:19:54.128423",3176125,3230958,2,"",2,"ReportReason_2"
221417,"2016-06-17 04:29:02.693341",2355716,2066234,4,"",4,"ReportReason_4"
341269,"2017-01-14 03:58:31.729257",816321,3040240,4,"",4,"ReportReason_4"
341294,"2017-01-14 04:59:38.54449",2599108,3040240,4,"",4,"ReportReason_4"
323589,"2016-12-06 21:09:59.081184",2902203,2620765,6,"",6,"ReportReason_6"
375913,"2017-04-21 14:14:36.683713",986420,2518426,6,"Wants money ",6,"ReportReason_6"
344867,"2017-01-23 01:51:44.893442",2828290,3063823,4,"",4,"ReportReason_4"
358987,"2017-03-02 05:12:26.106364",3114971,357853,3,"",3,"ReportReason_3"
385888,"2017-05-07 04:34:37.545075",3287280,3235578,1,"",1,"ReportReason_1"
278097,"2016-10-03 04:10:06.450888",640755,2653533,2,"",2,"ReportReason_2"
290055,"2016-10-12 14:27:50.066604",2380937,2080725,6,"",6,"ReportReason_6"
326054,"2016-12-11 17:25:48.515002",2933832,2264580,1,"",1,"ReportReason_1"
357870,"2017-02-26 12:59:14.08339",2986724,2047677,2,"",2,"ReportReason_2"
356708,"2017-02-22 07:27:33.646321",2075650,623540,2,"",2,"ReportReason_2"
85988,"2016-02-11 14:34:51.440359",616800,841831,4,"",4,"ReportReason_4"
85960,"2016-02-11 14:34:51.114374",551462,841831,4,"",4,"ReportReason_4"
383061,"2017-04-30 18:34:32.015308",2820295,3346916,2,"",2,"ReportReason_2"
383636,"2017-05-01 20:39:00.503831",3268920,3346916,2,"",2,"ReportReason_2"
365984,"2017-03-26 15:24:12.678106",2969907,2706587,2,"",2,"ReportReason_2"
366022,"2017-03-26 16:41:05.450237",2969907,2706587,1,"",1,"ReportReason_1"
87828,"2016-02-11 14:35:12.405143",437292,815340,5,"",5,"ReportReason_5"
308436,"2016-11-06 14:03:35.175952",2564544,2611830,5,"",5,"ReportReason_5"
353799,"2017-02-13 01:26:45.285683",3117631,3069859,1,"",1,"ReportReason_1"
357388,"2017-02-24 21:30:44.791326",2882355,3149259,2,"",2,"ReportReason_2"
357467,"2017-02-25 03:39:06.016878",2986724,3149259,6,"hes using homo in front page ",6,"ReportReason_6"
64775,"2016-02-11 14:30:44.365254",494361,327301,3,"",3,"ReportReason_3"
329039,"2016-12-20 04:55:49.109787",2907805,2925285,1,"",1,"ReportReason_1"
356686,"2017-02-22 06:05:03.383893",2767460,3151949,2,"",2,"ReportReason_2"
342853,"2017-01-17 23:28:08.28758",546478,2930246,2,"",2,"ReportReason_2"
313104,"2016-11-15 17:46:03.433382",2825237,153043,6,"repetitive",6,"ReportReason_6"
359115,"2017-03-02 14:29:20.712182",3121839,3138262,5,"",5,"ReportReason_5"
383138,"2017-04-30 23:12:48.217825",2767460,3345687,2,"",2,"ReportReason_2"
384202,"2017-05-03 04:56:06.37663",2804030,3325736,2,"",2,"ReportReason_2"
384203,"2017-05-03 04:56:22.932419",2804030,3325736,6,"Stealing photos",6,"ReportReason_6"
313082,"2016-11-15 17:32:29.630873",2825237,2725657,6,"repetitive",6,"ReportReason_6"
339904,"2017-01-11 02:57:33.669298",3014007,2887105,6,"Not my type",6,"ReportReason_6"
98419,"2016-02-11 14:37:17.958997",494361,642250,4,"",4,"ReportReason_4"
372142,"2017-04-13 00:32:55.674396",3288716,2985953,2,"",2,"ReportReason_2"
313385,"2016-11-16 08:16:19.100792",2825237,215046,6,"repetitive",6,"ReportReason_6"
362615,"2017-03-15 05:33:00.089195",2999551,3219180,6,"scam",6,"ReportReason_6"
378969,"2017-04-24 21:12:05.736924",3091509,3335851,2,"",2,"ReportReason_2"
378777,"2017-04-24 15:45:30.636341",2829188,3335851,2,"",2,"ReportReason_2"
381695,"2017-04-28 18:31:56.386058",995821,3335851,2,"",2,"ReportReason_2"
388475,"2017-05-12 16:09:25.311745",3091509,3378927,2,"",2,"ReportReason_2"
329671,"2016-12-21 16:39:40.51246",2767460,2964879,2,"",2,"ReportReason_2"
382812,"2017-04-30 05:30:34.641458",3094443,3306639,2,"",2,"ReportReason_2"
332211,"2016-12-28 01:11:27.947475",2767460,2982700,2,"",2,"ReportReason_2"
341109,"2017-01-13 20:11:13.486909",2758641,3038194,2,"",2,"ReportReason_2"
386637,"2017-05-08 15:51:12.74538",3152578,3345649,1,"",1,"ReportReason_1"
380955,"2017-04-27 14:53:43.992678",3095185,3345649,2,"",2,"ReportReason_2"
381002,"2017-04-27 17:16:53.938239",2820295,3345649,2,"",2,"ReportReason_2"
380957,"2017-04-27 15:02:27.616168",3217975,3345649,2,"",2,"ReportReason_2"
381039,"2017-04-27 18:44:18.299407",2934248,3345649,2,"",2,"ReportReason_2"
381040,"2017-04-27 18:44:33.00881",372424,3345649,2,"",2,"ReportReason_2"
381052,"2017-04-27 19:14:03.268389",2803074,3345649,6,"",6,"ReportReason_6"
381079,"2017-04-27 20:08:07.30082",2356900,3345649,2,"",2,"ReportReason_2"
381058,"2017-04-27 19:27:15.722459",191891,3345649,2,"",2,"ReportReason_2"
381092,"2017-04-27 20:42:04.910916",3094413,3345649,2,"",2,"ReportReason_2"
381136,"2017-04-27 22:48:21.204024",2767460,3345649,2,"",2,"ReportReason_2"
381671,"2017-04-28 17:33:26.974401",2356900,3345649,2,"",2,"ReportReason_2"
383628,"2017-05-01 20:13:00.33477",3318935,2991148,1,"",1,"ReportReason_1"
302731,"2016-10-26 01:46:42.565828",2767460,2635358,5,"",5,"ReportReason_5"
313098,"2016-11-15 17:38:22.047343",2825237,2424514,6,"repetitive",6,"ReportReason_6"
352399,"2017-02-10 03:53:45.098456",548076,3115181,3,"",3,"ReportReason_3"
347867,"2017-01-30 04:42:50.334955",3049083,2818003,2,"",2,"ReportReason_2"
331344,"2016-12-26 17:59:06.127258",941393,2978286,4,"",4,"ReportReason_4"
331349,"2016-12-26 18:07:46.41847",2951071,2978286,4,"",4,"ReportReason_4"
331352,"2016-12-26 18:18:37.687746",816321,2978286,4,"",4,"ReportReason_4"
331406,"2016-12-26 19:53:58.112355",810217,2978286,4,"",4,"ReportReason_4"
331439,"2016-12-26 21:51:46.380236",2886162,2978286,4,"",4,"ReportReason_4"
313094,"2016-11-15 17:36:34.32923",2825237,2822316,6,"repetitive",6,"ReportReason_6"
352252,"2017-02-09 23:43:49.844419",3085672,3107598,2,"",2,"ReportReason_2"
356694,"2017-02-22 06:20:49.938285",3137741,1089708,1,"",1,"ReportReason_1"
342160,"2017-01-16 03:33:14.129266",3045697,2982656,2,"",2,"ReportReason_2"
