id,device,email_provider,has_fb_id
54362,unknown,gmail,True
73244,unknown,gmail,False
76839,unknown,yahoo,True
92132,unknown,other,True
92220,unknown,gmail,False
93194,unknown,yahoo,False
93760,unknown,gmail,True
94416,unknown,other,False
95093,unknown,hotmail,True
96987,unknown,gmail,True
100660,unknown,gmail,True
100937,unknown,gmail,False
101663,unknown,gmail,True
102036,unknown,yahoo,True
102791,unknown,gmail,False
102939,unknown,gmail,False
102973,unknown,yahoo,True
102984,unknown,gmail,False
103306,unknown,gmail,True
103564,unknown,other,False
103771,unknown,gmail,True
103820,unknown,gmail,True
104025,unknown,yahoo,True
104925,unknown,hotmail,False
105030,unknown,gmail,False
106356,unknown,gmail,False
107065,unknown,gmail,True
107817,unknown,other,True
107961,unknown,yahoo,False
108842,unknown,yahoo,True
110168,unknown,yahoo,False
112593,unknown,gmail,True
112849,unknown,hotmail,False
112869,unknown,other,False
113179,unknown,other,False
113527,unknown,hotmail,False
114193,unknown,other,False
114925,unknown,other,True
115136,unknown,hotmail,True
115688,unknown,gmail,True
117163,unknown,gmail,False
117403,unknown,yahoo,False
117554,unknown,yahoo,False
117577,unknown,yahoo,True
117678,unknown,other,True
117734,unknown,yahoo,False
118409,unknown,yahoo,False
118415,unknown,gmail,False
119378,unknown,gmail,True
120231,unknown,other,False
120366,unknown,gmail,True
120559,unknown,yahoo,True
121374,unknown,other,False
122722,unknown,yahoo,False
122780,unknown,yahoo,False
123450,unknown,other,True
124141,unknown,gmail,True
124198,unknown,gmail,False
124276,unknown,yahoo,False
124990,unknown,hotmail,False
125894,unknown,gmail,False
126860,unknown,gmail,False
127251,unknown,gmail,False
127307,unknown,gmail,False
127655,unknown,other,False
127907,unknown,other,False
128505,unknown,gmail,True
128507,unknown,yahoo,False
128527,unknown,gmail,True
128566,unknown,gmail,True
128639,unknown,other,False
129484,unknown,yahoo,False
129843,unknown,gmail,True
130265,unknown,gmail,False
130630,unknown,other,True
131685,unknown,hotmail,False
131839,unknown,gmail,False
132834,unknown,gmail,False
133143,unknown,yahoo,True
133362,unknown,other,False
133940,unknown,gmail,True
133957,unknown,other,True
135682,unknown,hotmail,True
135961,unknown,other,False
136577,unknown,gmail,True
136610,unknown,yahoo,False
136782,unknown,gmail,False
136966,unknown,yahoo,False
137001,unknown,other,True
137449,unknown,other,False
137951,unknown,gmail,False
138448,unknown,gmail,False
138798,unknown,other,True
139027,unknown,yahoo,False
139736,unknown,hotmail,False
139777,unknown,other,False
139860,unknown,gmail,True
140091,unknown,gmail,True
140155,unknown,gmail,False
140281,unknown,other,True
140692,unknown,gmail,False
141197,unknown,gmail,False
141929,unknown,gmail,True
143106,unknown,hotmail,True
143898,unknown,gmail,False
143977,unknown,yahoo,False
144372,unknown,other,True
144620,unknown,gmail,False
144879,unknown,gmail,True
144975,unknown,gmail,False
145439,unknown,gmail,False
145468,unknown,yahoo,False
145547,unknown,gmail,False
145692,unknown,gmail,False
145817,unknown,gmail,True
145890,unknown,other,True
147178,unknown,hotmail,False
147299,unknown,other,True
147506,unknown,gmail,False
148725,unknown,other,True
148985,unknown,yahoo,False
150992,unknown,gmail,False
151300,unknown,hotmail,True
151685,unknown,other,False
152239,unknown,yahoo,False
152263,unknown,hotmail,False
152728,unknown,other,False
152894,unknown,gmail,True
153028,unknown,other,True
153043,unknown,gmail,False
153288,unknown,gmail,True
154128,unknown,gmail,True
154249,unknown,gmail,False
154430,unknown,other,True
154453,unknown,gmail,True
154937,unknown,gmail,True
155415,unknown,gmail,False
157118,unknown,gmail,False
157919,unknown,yahoo,True
158012,unknown,yahoo,False
158578,unknown,yahoo,True
158626,unknown,gmail,True
158837,unknown,gmail,True
158893,unknown,other,False
159192,unknown,other,False
159488,unknown,gmail,True
159668,unknown,other,True
159854,unknown,gmail,False
159915,unknown,hotmail,True
160902,unknown,other,False
160963,unknown,gmail,True
162405,unknown,gmail,True
163793,unknown,yahoo,False
166351,unknown,other,True
166609,unknown,gmail,False
166910,unknown,other,False
167508,unknown,gmail,False
167583,unknown,yahoo,True
167627,unknown,gmail,True
167901,unknown,gmail,False
168068,unknown,other,False
168235,unknown,gmail,True
168533,unknown,other,False
168961,unknown,gmail,False
