"account_id","notify_text","notify_relationship_status","notify_new_photo","notify_instagram","notify_remote","notify_feeling","last_instagram_notified","last_swipe_notified","remote_notification","powerlike_gift","notify_location","remote_notifications_sent","notify_birthday","birthday_notifications_sent","notify_market","notify_shoutout","xmas_newsletter_sent"
2039616,t,t,t,t,t,t,"","",,t,t,"{10,13,16,17,18,20,21}",t,"{2017}",t,t,
2806637,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"{2017}",t,t,
2890371,t,t,t,t,t,t,"","",,,t,"{16,17,18,20,21}",t,"",t,t,t
2573794,t,t,t,t,t,t,"","",,,t,"{10,13,20,21}",t,"",t,t,
371739,t,f,f,f,f,t,"","2016-01-31 23:16:41",,,t,"{10,13,20,21}",t,"{2017}",t,t,
638598,t,t,t,t,t,t,"","2016-01-31 02:43:40",,t,t,"",t,"{2017}",t,t,
2510058,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"{2017}",t,t,
2949837,t,t,t,t,t,t,"","",,,t,"",t,"{2017}",t,t,
1006624,t,t,t,t,t,t,"","",,t,t,"{10,13,20,21}",t,"{2016}",t,t,
324179,t,f,f,f,f,f,"","2016-02-01 00:01:32",,,f,"{10,13,20,21}",f,"{2016}",f,t,
893247,f,t,t,t,t,t,"","2016-01-31 16:52:13",,t,t,"{10,13,20,21}",t,"",t,t,
2419528,t,t,t,t,t,t,"","",,,t,"{10,13,20}",t,"{2017}",t,t,
3154346,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
214918,t,f,f,f,t,f,"","2016-02-01 04:20:41",,,t,"{10,13,20,21}",t,"{2017}",t,t,
110168,t,t,t,t,t,t,"","2016-02-01 04:50:09",,,t,"{10,13,20,21}",t,"",t,t,t
2117020,t,t,t,t,t,t,"","",,t,t,"{10,13,20,21}",t,"",t,t,
3014247,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"{2017}",t,t,
2655472,t,t,t,t,t,t,"","",,,t,"{13,16,17,18,20,21}",t,"{2017}",t,t,
3188367,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
3386135,t,t,t,t,t,t,"","",,,t,"{18}",t,"",t,t,
3269205,t,t,t,t,t,t,"","",,,t,"{21}",t,"",t,t,
3142749,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
3040213,t,t,t,t,t,t,"","",,,t,"",t,"{2017}",t,t,
3064599,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
3006472,t,t,t,t,t,t,"","",,,t,"{16,17,18,20,21}",t,"",t,t,
1009847,t,t,t,t,t,t,"","",,t,t,"{10,13,20,21}",t,"{2017}",t,t,
138798,t,t,t,t,t,t,"","2016-02-01 07:35:38",,,t,"{10,13,20,21}",t,"",t,t,
2709444,t,t,t,t,t,t,"","",,,t,"{13,20,21}",t,"",t,t,
191910,t,t,t,t,t,t,"","2016-01-31 23:14:51",,,t,"{10,13,20,21}",t,"",t,t,t
227347,t,t,t,t,t,t,"","2016-02-01 07:45:51",,,t,"{10,13,18,20,21}",t,"",t,t,
2980225,t,t,t,t,t,t,"","",,,t,"",t,"{2017}",t,t,
3083887,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
2994631,t,t,t,t,t,t,"","",,,t,"",t,"{2017}",t,t,
3307214,t,t,t,t,t,t,"","",,,t,"{21}",t,"",t,t,t
2358168,t,t,t,t,t,t,"","",t,,t,"{13,20,21}",t,"{2017}",t,t,
816122,t,t,t,t,t,t,"","",,t,t,"{10,13,20,21}",t,"",t,t,
357018,t,t,t,t,t,t,"","2016-02-01 02:42:28",,,t,"{10,13,20,21}",t,"",t,t,
2330012,t,t,t,t,t,t,"","",,t,t,"{10,13,20,21}",t,"",t,t,
3132272,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
2794160,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"{2016}",t,t,
3056085,t,t,t,t,t,t,"","",,,t,"",t,"{2017}",t,t,
3096252,t,t,t,t,t,t,"","",,,t,"{18,20,21}",t,"{2017}",t,t,
2901334,t,t,t,t,t,t,"","",,,t,"",t,"{2017}",t,t,
3342442,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
346351,t,t,t,t,t,t,"","2016-02-01 06:30:37",,,t,"{10,13,20,21}",t,"{2016}",t,t,
2869710,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
3289569,t,t,t,t,t,t,"","",,,t,"{18,21}",t,"",t,t,
120366,t,t,t,t,t,t,"","2016-02-01 02:15:20",,,t,"{10,13,18,20,21}",t,"{2017}",t,t,
477579,t,t,t,t,t,t,"","2016-02-01 07:14:30",,,t,"{10,13,18,20,21}",t,"{2016}",t,t,
3204588,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,f,
2892763,t,t,t,t,t,t,"","",,,t,"",t,"{2017}",t,t,
291337,t,t,t,t,t,t,"","2015-07-25 03:10:09",,,t,"",t,"",t,t,
3097839,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"{2017}",t,t,
3053683,t,t,t,t,t,t,"","",,,t,"{16,17,18,20,21}",t,"",t,t,
2581839,t,t,t,t,t,t,"","",,,t,"{10}",t,"",t,t,
3295532,t,t,t,t,t,t,"","",,,t,"{21}",t,"",t,t,
2624031,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"{2016}",t,t,
3042304,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
2483446,t,t,t,t,t,t,"","",,,t,"{10,13,20,21}",t,"",t,t,
2392845,t,t,t,t,t,t,"","",,,t,"{10,13,20,21}",t,"",t,t,
3140544,t,f,f,f,f,f,"","",,,f,"{21}",f,"",f,f,
2850855,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
3146055,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
561007,f,f,f,f,f,f,"","2016-02-01 04:25:29",,,f,"{10,13,20,21}",f,"{2016}",f,f,
2861130,t,t,t,t,t,t,"","",,,t,"{18,20,21}",t,"",t,t,
722124,t,t,t,t,t,t,"","2016-02-01 07:33:55",,t,t,"",t,"",t,t,
2945397,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
3369957,t,t,t,t,t,t,"","",,,t,"{18}",t,"",t,t,
2873856,t,t,t,t,t,t,"","",,,t,"{16,17,18,20,21}",t,"",t,t,
1110663,t,t,t,t,t,t,"","",,t,t,"{10,13,20,21}",t,"{2017}",t,t,
2974956,t,t,t,t,t,t,"","",,,t,"",t,"{2017}",t,t,
2523430,t,t,t,t,t,t,"","",,,t,"{10,13,18,20,21}",t,"",t,t,t
2815139,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
2955827,t,t,t,t,t,t,"","",,,t,"",t,"{2017}",t,t,
873178,t,t,t,t,t,t,"","2016-01-30 16:08:22",,t,t,"{10,13,20,21}",t,"",t,t,
3092105,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
3152226,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
3233962,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
3223935,t,t,t,t,t,t,"","",,,t,"{18,20,21}",t,"",t,t,
154128,t,t,t,t,t,t,"","2016-02-01 04:16:25",,,t,"{10,13,18,20,21}",t,"{2017}",t,t,
3109358,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
2803632,t,t,t,t,t,t,"","",,,t,"{18,20,21}",t,"{2017}",t,t,
3246262,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
2798596,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
2879548,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"{2017}",t,t,
3304377,t,t,t,t,t,t,"","",,,t,"{18}",t,"{2017}",t,t,
2203387,t,t,t,t,t,t,"","",,t,t,"",t,"{2017}",t,t,
3023464,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
3296864,t,t,t,t,t,t,"","",,,t,"{21}",t,"",t,t,
484919,t,t,t,t,t,t,"","2016-02-01 05:41:37",,,t,"{10,13,16,17,18,20,21}",t,"",t,t,t
2509813,t,t,t,t,t,t,"","",,,t,"{10,13,20,21}",t,"{2017}",t,t,t
287264,t,t,t,t,t,t,"","2016-02-01 04:17:47",,,t,"{10,13,20,21}",t,"",t,t,
3054559,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
2950143,t,t,t,t,t,t,"","",,,t,"",t,"{2017}",t,t,t
2511346,t,t,t,t,t,t,"","",,,t,"{10,20,21}",t,"",t,t,t
2504318,t,t,t,t,t,t,"","",,,t,"{10,13,20,21}",t,"",t,t,
873164,t,t,t,t,t,t,"","2016-01-31 16:50:09",,t,t,"{10,13,20,21}",t,"{2017}",t,t,
2984420,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
3193730,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
3170280,t,t,t,t,t,t,"","",,,t,"{18,20,21}",t,"",t,t,
2621556,t,t,t,t,t,t,"","",,,t,"",t,"{2017}",t,t,
3276015,t,t,t,t,t,t,"","",,,t,"{21}",t,"",t,t,
3226803,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
2845037,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
1082453,t,t,t,t,t,t,"","",,t,t,"{10,13,20,21}",t,"{2017}",t,t,
3141994,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
1015108,t,f,f,f,f,f,"","",,t,f,"{10,13,20,21}",f,"",f,f,
3196107,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
2564544,t,t,t,t,t,t,"","",,,t,"{10,13,20,21}",t,"{2017}",t,t,
1027876,t,t,t,t,t,t,"","",,t,t,"{10,13,18,20,21}",t,"{2016}",t,t,
996663,t,f,t,t,f,t,"","",,t,t,"",t,"",t,t,
3169129,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
2843984,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"{2016}",t,t,t
2602384,t,t,t,t,t,t,"","",,,t,"{10,11,12,13,14,15,20,21}",t,"{2016}",t,t,
2686369,t,t,t,t,t,t,"","",,,t,"{13}",t,"",t,t,
3096922,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
3140049,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
3122876,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
2268906,t,t,t,t,t,t,"","",,t,t,"{10,20,21}",t,"{2017}",t,t,
3050605,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
3368399,t,t,t,t,t,t,"","",,,t,"{18}",t,"",t,t,
2352039,t,t,t,t,t,t,"","",t,,t,"{13,20,21}",t,"{2017}",t,t,
2521975,t,t,t,t,t,t,"","",,,t,"{10,13,20,21}",t,"",t,t,
3018235,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
2270027,t,t,t,t,t,t,"","",t,t,t,"{13,16,17,18,20,21}",t,"{2016}",t,t,
446970,t,t,t,t,t,t,"","2016-02-01 04:17:47",,,t,"{10,13,20,21}",t,"{2017}",t,t,
3325909,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
642802,f,f,f,f,f,t,"","2016-01-31 16:31:31",,t,t,"{10,13}",t,"",t,t,
3096739,t,t,t,t,t,t,"","",,,t,"{18,20,21}",t,"{2017}",t,t,
478937,t,t,t,t,t,t,"","2016-02-01 02:11:41",,,t,"{10,13,18,20,21}",t,"",t,t,
3002546,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
3276317,t,t,t,t,t,t,"","",,,t,"{18,21}",t,"{2017}",t,t,
3380650,t,t,t,t,t,f,"","",,,t,"{18}",f,"",f,f,
2917468,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
3030909,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"{2017}",t,t,
3277350,t,t,t,t,t,t,"","",,,t,"{21}",t,"",t,t,
574830,t,t,t,t,t,t,"","",,,t,"",t,"{2017}",t,t,t
3024742,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
3355965,t,t,t,t,t,t,"","",,t,t,"",t,"",t,t,
410745,t,t,t,t,t,t,"","2016-02-01 04:14:06",,,t,"{10,13,20,21}",t,"{2017}",t,t,
2444688,t,t,t,t,t,t,"","",,,t,"{10,13,16,17,18,20,21}",t,"{2017}",t,t,
2390059,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,t
2816726,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"{2016}",t,t,
2946194,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
